medium,source,sessions_visit,reach_view,reach_add,reach_checkout,reach_purchase_closed,reach_purchase_after_view,cr_visit_to_view,cr_view_to_add,cr_add_to_checkout,cr_checkout_to_purchase,cr_visit_to_purchase_closed,cr_visit_to_purchase_after_view,txn_count,revenue_usd,AOV_usd
Affiliates,Source1412,10.0,6.0,0.0,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,0.0,0.0,
email2,Source1016,10.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.0,0.0,
email1,Source1066,9.0,1.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0,0.0,
organic,Source1001,9.0,2.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,,,0.0,0.0,0.0,0.0,
email2,Source1361,9.0,3.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,2498.0,2498.0
email1,Source1438,8.0,3.0,2.0,1.0,1.0,1.0,0.375,0.6666666666666666,0.5,1.0,0.125,0.125,1.0,179.0,179.0
email2,Source1344,7.0,4.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,,,0.0,0.0,0.0,0.0,
email1,Source1292,7.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source893,7.0,5.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,,,0.0,0.0,0.0,0.0,
email,Source723,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
organic,bing,6.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source625,5.0,4.0,0.0,1.0,0.0,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source1264,4.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source865,4.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.0,0.0,
Affiliates,Source578,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
